SEQN,FIAINTRP,INDHHINC,SDMVPSU,DMDMARTL,MIALANG,DMDHRAGE,AIALANG,FIALANG,RIDAGEYR,DMDHRBRN,DMDYRSUS,DMDHHSIZ,WTINT2YR,MIAPROXY,SDDSRVYR,DMDHRGND,DMDBORN,RIDEXPRG,SIAPROXY,FIAPROXY,MIAINTRP,RIDAGEMN,INDFMINC,DMDHSEDU,INDFMPIR,RIDSTATR,RIAGENDR,DMDEDUC3,RIDRETH1,SDMVSTRA,SIAINTRP,DMQMILIT,RIDEXMON,DMDEDUC2,RIDAGEEX,DMDSCHOL,DMDCITZN,WTMEC2YR,DMDHRMAR,SIALANG,DMDHREDU,SourceYear
29010.0,2.0,7.0,1.0,5.0,1.0,40.0,1.0,1.0,15.0,1.0,,4.0,42775.255363,2.0,3.0,2.0,1.0,,1.0,2.0,2.0,184.0,7.0,3.0,2.17,2.0,1.0,9.0,3.0,32.0,2.0,,2.0,,185.0,2.0,1.0,44947.147223,1.0,1.0,4.0,2003
29011.0,2.0,5.0,1.0,6.0,1.0,19.0,1.0,1.0,19.0,,,2.0,19388.849017,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,229.0,3.0,,1.39,2.0,2.0,12.0,3.0,29.0,2.0,2.0,2.0,,231.0,1.0,1.0,19105.29563,,1.0,,2003
29012.0,2.0,5.0,1.0,2.0,1.0,51.0,1.0,1.0,51.0,1.0,,1.0,29112.518471,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,621.0,5.0,,2.34,2.0,2.0,,4.0,30.0,2.0,2.0,1.0,2.0,622.0,,1.0,33941.184822,2.0,1.0,2.0,2003
29013.0,2.0,6.0,2.0,5.0,1.0,18.0,2.0,1.0,18.0,2.0,1.0,6.0,3489.330222,2.0,3.0,1.0,2.0,,2.0,2.0,2.0,218.0,1.0,,0.05,2.0,1.0,9.0,1.0,40.0,2.0,2.0,1.0,,219.0,3.0,2.0,3556.881494,5.0,2.0,2.0,2003
29014.0,2.0,6.0,2.0,,,30.0,,1.0,0.0,1.0,,2.0,2629.185436,,3.0,2.0,1.0,,1.0,2.0,,8.0,6.0,,2.56,2.0,2.0,,1.0,42.0,2.0,,1.0,,9.0,,1.0,2629.185436,1.0,1.0,4.0,2003
29015.0,2.0,4.0,2.0,4.0,,38.0,,1.0,38.0,1.0,,5.0,38947.423846,,3.0,2.0,1.0,3.0,2.0,2.0,,456.0,4.0,,0.77,2.0,2.0,,1.0,38.0,2.0,2.0,1.0,3.0,456.0,,1.0,40269.717835,4.0,1.0,3.0,2003
29016.0,2.0,2.0,2.0,5.0,1.0,36.0,1.0,1.0,14.0,1.0,,7.0,5082.911547414893,2.0,3.0,2.0,1.0,,1.0,2.0,2.0,172.0,2.0,5.0,0.34,2.0,1.0,8.0,4.0,31.0,2.0,,2.0,,173.0,2.0,1.0,5171.190774843984,1.0,1.0,4.0,2003
29017.0,2.0,,2.0,,,42.0,,2.0,0.0,2.0,,3.0,1928.06932,,3.0,2.0,1.0,,1.0,2.0,,9.0,99.0,,,2.0,2.0,,1.0,42.0,2.0,,1.0,,10.0,,1.0,1928.06932,5.0,2.0,1.0,2003
29018.0,2.0,11.0,2.0,5.0,1.0,18.0,1.0,1.0,18.0,1.0,,5.0,6189.933616493657,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,223.0,11.0,,3.86,2.0,2.0,13.0,4.0,39.0,2.0,2.0,1.0,,223.0,1.0,1.0,6302.591196138665,5.0,1.0,3.0,2003
29019.0,2.0,3.0,1.0,2.0,1.0,79.0,,1.0,79.0,1.0,,1.0,37223.582106,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,957.0,3.0,,1.07,2.0,2.0,,3.0,33.0,2.0,2.0,2.0,1.0,958.0,,1.0,42282.823029,2.0,1.0,1.0,2003
29020.0,2.0,7.0,1.0,1.0,1.0,57.0,,1.0,76.0,1.0,,2.0,28463.044382,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,923.0,7.0,3.0,2.8,2.0,1.0,,3.0,29.0,2.0,1.0,2.0,3.0,923.0,,1.0,31521.966643,1.0,1.0,4.0,2003
29021.0,2.0,,1.0,1.0,,46.0,,1.0,46.0,1.0,,4.0,28164.040394,,3.0,2.0,1.0,2.0,2.0,2.0,,562.0,99.0,7.0,,2.0,2.0,,4.0,36.0,2.0,2.0,1.0,3.0,563.0,,1.0,29403.511138,1.0,1.0,3.0,2003
29022.0,2.0,8.0,2.0,,,39.0,,1.0,11.0,1.0,,5.0,59552.431468,,3.0,1.0,1.0,2.0,1.0,2.0,,137.0,8.0,3.0,2.27,2.0,2.0,4.0,3.0,32.0,2.0,,2.0,,137.0,1.0,1.0,59982.8078,1.0,1.0,3.0,2003
29023.0,2.0,6.0,2.0,1.0,1.0,34.0,1.0,1.0,33.0,1.0,,3.0,35891.048731,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,403.0,6.0,4.0,2.17,2.0,2.0,,2.0,39.0,2.0,1.0,1.0,4.0,404.0,,1.0,37131.632399,1.0,1.0,4.0,2003
29024.0,2.0,6.0,1.0,2.0,1.0,85.0,,1.0,85.0,1.0,,1.0,16671.075793,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,,6.0,,3.34,2.0,1.0,,3.0,35.0,2.0,1.0,1.0,3.0,,,1.0,19223.107786,2.0,1.0,3.0,2003
29025.0,2.0,5.0,2.0,5.0,1.0,42.0,1.0,1.0,19.0,1.0,,5.0,39911.28223,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,229.0,5.0,3.0,1.0,2.0,1.0,13.0,3.0,32.0,2.0,2.0,2.0,,230.0,3.0,1.0,40719.513162,1.0,1.0,4.0,2003
29026.0,2.0,2.0,1.0,5.0,1.0,36.0,1.0,1.0,36.0,1.0,,1.0,32145.856938,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,434.0,2.0,,0.64,2.0,1.0,,3.0,43.0,2.0,2.0,1.0,4.0,435.0,,1.0,35574.75058,5.0,1.0,4.0,2003
29027.0,2.0,6.0,2.0,,,35.0,,1.0,9.0,1.0,,4.0,42710.441263,,3.0,2.0,1.0,2.0,1.0,2.0,,110.0,6.0,2.0,1.33,2.0,2.0,2.0,3.0,33.0,2.0,,2.0,,110.0,1.0,1.0,44037.58899,1.0,1.0,3.0,2003
29028.0,2.0,8.0,1.0,3.0,1.0,55.0,1.0,1.0,55.0,1.0,,1.0,26680.364476,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,663.0,8.0,,5.0,2.0,2.0,,4.0,39.0,2.0,2.0,2.0,4.0,664.0,,1.0,27502.530689,3.0,1.0,4.0,2003
29029.0,2.0,2.0,2.0,,,30.0,,2.0,0.0,2.0,,5.0,2101.345983,,3.0,1.0,1.0,,1.0,2.0,,7.0,2.0,2.0,0.32,2.0,2.0,,1.0,43.0,2.0,,1.0,,8.0,,1.0,2173.609674,1.0,2.0,3.0,2003
29030.0,2.0,5.0,1.0,,,20.0,,2.0,1.0,2.0,,7.0,5445.081214,,3.0,1.0,1.0,,1.0,2.0,,19.0,2.0,,0.43,2.0,2.0,,1.0,42.0,2.0,,2.0,,19.0,,1.0,5419.744354,6.0,2.0,2.0,2003
29031.0,2.0,5.0,1.0,,,29.0,,2.0,2.0,2.0,1.0,6.0,7593.020841,,3.0,1.0,2.0,,1.0,2.0,,28.0,5.0,1.0,0.83,2.0,1.0,,1.0,43.0,2.0,,1.0,,28.0,,2.0,8483.31748,1.0,2.0,1.0,2003
29032.0,2.0,7.0,1.0,2.0,1.0,82.0,,1.0,82.0,1.0,,3.0,16202.682125,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,993.0,7.0,,2.62,2.0,2.0,,4.0,41.0,2.0,2.0,2.0,1.0,994.0,,1.0,16239.630715,2.0,1.0,1.0,2003
29033.0,2.0,4.0,1.0,3.0,1.0,33.0,1.0,1.0,33.0,1.0,,1.0,105624.074417,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,400.0,4.0,,1.67,2.0,1.0,,3.0,31.0,2.0,2.0,2.0,2.0,400.0,,1.0,113511.029919,3.0,1.0,2.0,2003
29034.0,2.0,8.0,1.0,5.0,1.0,25.0,1.0,1.0,25.0,1.0,,2.0,74434.953907,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,306.0,5.0,,2.56,2.0,2.0,,3.0,29.0,2.0,2.0,2.0,5.0,308.0,,1.0,74489.351784,5.0,1.0,5.0,2003
29035.0,2.0,8.0,2.0,5.0,1.0,43.0,1.0,1.0,16.0,1.0,,3.0,7063.392196222873,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,194.0,8.0,,3.19,2.0,1.0,10.0,4.0,36.0,2.0,,1.0,,195.0,1.0,1.0,7194.707982444087,3.0,1.0,4.0,2003
29036.0,2.0,7.0,1.0,2.0,,85.0,,1.0,85.0,1.0,,3.0,17217.071241,,3.0,2.0,1.0,,1.0,2.0,,,7.0,,2.62,1.0,2.0,,3.0,30.0,2.0,2.0,,2.0,,,1.0,0.0,2.0,1.0,2.0,2003
29037.0,2.0,6.0,2.0,,,21.0,,2.0,1.0,2.0,,7.0,5683.926658,,3.0,2.0,1.0,,1.0,2.0,,13.0,4.0,,1.02,2.0,1.0,,1.0,40.0,2.0,,1.0,,14.0,,1.0,5672.671791,6.0,2.0,1.0,2003
29038.0,2.0,11.0,2.0,1.0,1.0,43.0,1.0,1.0,43.0,1.0,,4.0,27525.77897,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,519.0,11.0,4.0,5.0,2.0,2.0,,4.0,33.0,2.0,2.0,2.0,5.0,521.0,,1.0,28737.160479,1.0,1.0,5.0,2003
29039.0,2.0,9.0,2.0,5.0,1.0,41.0,1.0,1.0,19.0,1.0,,3.0,6446.093638539226,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,239.0,9.0,,3.51,2.0,2.0,13.0,4.0,39.0,2.0,2.0,1.0,,240.0,1.0,1.0,6563.413363637958,3.0,1.0,4.0,2003
29040.0,2.0,9.0,2.0,,1.0,53.0,1.0,1.0,13.0,1.0,,5.0,7536.821783,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,162.0,9.0,,2.72,2.0,2.0,7.0,1.0,38.0,2.0,,1.0,,163.0,1.0,1.0,7770.230447,3.0,1.0,4.0,2003
29041.0,2.0,11.0,1.0,,,36.0,,1.0,6.0,3.0,3.0,5.0,9639.415581,,3.0,1.0,3.0,,1.0,2.0,,83.0,11.0,2.0,5.0,2.0,1.0,0.0,4.0,35.0,2.0,,1.0,,84.0,,2.0,9942.447178,1.0,1.0,4.0,2003
29042.0,2.0,7.0,2.0,,,34.0,,2.0,9.0,2.0,,5.0,9943.804093,,3.0,2.0,1.0,,1.0,2.0,,111.0,7.0,1.0,2.12,2.0,1.0,2.0,1.0,40.0,2.0,,1.0,,112.0,1.0,1.0,10453.615996,1.0,2.0,2.0,2003
29043.0,2.0,7.0,2.0,5.0,,28.0,,2.0,28.0,2.0,3.0,3.0,33741.19615,,3.0,1.0,2.0,,2.0,2.0,,343.0,7.0,,2.68,2.0,1.0,,1.0,37.0,2.0,2.0,2.0,1.0,345.0,,2.0,33645.523304,5.0,2.0,1.0,2003
29044.0,2.0,7.0,2.0,,,33.0,,2.0,2.0,2.0,,5.0,6498.027026,,3.0,1.0,1.0,,1.0,2.0,,32.0,7.0,3.0,1.59,2.0,1.0,,1.0,42.0,2.0,,1.0,,33.0,,1.0,6819.832788,1.0,2.0,1.0,2003
29045.0,2.0,4.0,2.0,,,26.0,,1.0,0.0,1.0,,5.0,7167.164359,,3.0,2.0,1.0,,1.0,2.0,,2.0,4.0,2.0,0.68,2.0,1.0,,3.0,34.0,2.0,,2.0,,2.0,,1.0,7167.164359,1.0,1.0,2.0,2003
29046.0,2.0,3.0,1.0,5.0,1.0,37.0,1.0,1.0,17.0,1.0,,3.0,24109.177102,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,209.0,3.0,,0.72,2.0,1.0,10.0,3.0,29.0,2.0,2.0,2.0,,210.0,3.0,1.0,24597.404531,3.0,1.0,4.0,2003
29047.0,2.0,11.0,1.0,,,53.0,,1.0,7.0,1.0,,5.0,10427.81031,,3.0,1.0,1.0,,1.0,2.0,,95.0,7.0,,2.17,2.0,1.0,1.0,4.0,36.0,2.0,,1.0,,96.0,1.0,1.0,11258.929778,3.0,1.0,2.0,2003
